trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1081,False,"{'a': 0.0022167682392564853, 'e': 1.912693402957609e-05}",20,3,25.540814017613627,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.002205684398060203, 'e': 1.893566468928033e-05}",20,14,10.49330505028952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.0021946559760699018, 'e': 1.8746308042387527e-05}",20,12,16.70957984994788,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1084,False,"{'a': 0.0021836826961895523, 'e': 1.8558844961963652e-05}",30,15,31.03475759279699,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.0021727642827086046, 'e': 1.8373256512344015e-05}",35,17,30.962229319340096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1086,False,"{'a': 0.0021619004612950616, 'e': 1.8189523947220576e-05}",20,8,17.710947885049322,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1087,False,"{'a': 0.0021510909589885865, 'e': 1.8007628707748367e-05}",30,21,14.86660783207575,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1088,False,"{'a': 0.002140335504193643, 'e': 1.7827552420670884e-05}",20,13,13.857072958978819,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.002129633826672675, 'e': 1.7649276896464176e-05}",20,6,27.631671844968267,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.0021189856575393115, 'e': 1.7472784127499535e-05}",30,22,15.851712463595797,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.002108390729251615, 'e': 1.7298056286224538e-05}",30,21,13.58916186735436,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.002097848775605357, 'e': 1.7125075723362293e-05}",25,11,28.888828991735625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.00208735953172733, 'e': 1.695382496612867e-05}",35,17,39.48840416679788,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1094,False,"{'a': 0.0020769227340686936, 'e': 1.6784286716467382e-05}",20,6,21.451875810365788,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.0020665381203983503, 'e': 1.6616443849302708e-05}",30,12,29.74948772561955,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.0020562054297963584, 'e': 1.645027941080968e-05}",20,6,24.836276241404683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.0020459244026473766, 'e': 1.6285776616701585e-05}",25,1,37.89194547012987,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.0020356947806341396, 'e': 1.6122918850534568e-05}",20,0,32.319590999947906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1099,False,"{'a': 0.002025516306730969, 'e': 1.5961689662029222e-05}",20,6,24.549499099357085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.002015388725197314, 'e': 1.580207276540893e-05}",20,16,7.806511276181537,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.0020053117815713277, 'e': 1.564405203775484e-05}",20,9,20.32505143133033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.001995285222663471, 'e': 1.5487611517377293e-05}",25,10,29.065010495067785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.0019853087965501534, 'e': 1.533273540220352e-05}",25,9,29.238707747405783,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.0019753822525674027, 'e': 1.5179408048181485e-05}",30,8,39.53375921892204,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1105,False,"{'a': 0.0019655053413045655, 'e': 1.5027613967699669e-05}",30,16,24.498308152348184,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1106,False,"{'a': 0.001955677814598043, 'e': 1.4877337828022672e-05}",25,7,37.12733773133688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.0019458994255250528, 'e': 1.4728564449742445e-05}",20,12,13.317823263153343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
